year,Word,Frequency
2022,city,329
2022,country,285
2022,president,562
2022,russia,1043
2022,russian,815
2022,russias,48
2022,uk,454
2022,ukraine,1338
2022,ukraines,69
2022,ukrainian,465
2022,us,615
2022,war,392
2021,afghanistan,80
2021,biden,61
2021,climate,57
2021,country,248
2021,covid,768
2021,editor,259
2021,government,315
2021,police,285
2021,presents,347
2021,president,357
2021,reporting,361
2021,taliban,72
2021,uk,606
2021,us,753
2021,vaccine,59
2020,boris,77
2020,cases,406
2020,coronavirus,1668
2020,correspondent,545
2020,covid,140
2020,editor,536
2020,election,84
2020,england,72
2020,government,464
2020,health,498
2020,johnson,75
2020,lockdown,129
2020,presents,578
2020,reporting,451
2020,trump,134
2020,uk,894
2020,us,759
2019,boris,54
2019,brexit,399
2019,election,92
2019,government,217
2019,hong,51
2019,india,44
2019,johnson,230
2019,kong,47
2019,minister,222
2019,political,159
2019,president,291
2019,prime,225
2019,protests,44
2019,trump,307
2019,uk,269
2019,us,307
2018,brexit,54
2018,cave,43
2018,could,106
2018,donald,157
2018,hitters,284
2018,may,152
2018,north,103
2018,police,127
2018,president,354
2018,rescue,41
2018,royal,40
2018,syria,33
2018,trump,401
2018,uk,119
2018,us,466
2018,wedding,42
2017,attack,92
2017,brexit,68
2017,donald,237
2017,election,45
2017,government,138
2017,hitters,2086
2017,korea,50
2017,london,53
2017,may,206
2017,north,46
2017,police,218
2017,president,346
2017,state,153
2017,trump,449
2017,uk,146
2017,us,468
2016,aleppo,45
2016,attack,38
2016,brexit,43
2016,city,149
2016,donald,179
2016,election,35
2016,eu,61
2016,hitters,1118
2016,inside,52
2016,islamic,694
2016,president,196
2016,state,153
2016,states,634
2016,syria,39
2016,trump,236
2016,uk,142
2016,us,304
2015,city,130
2015,crisis,67
2015,election,46
2015,government,131
2015,inside,41
2015,islamic,176
2015,killed,134
2015,migrant,38
2015,moment,36
2015,police,143
2015,president,200
2015,reports,144
2015,state,236
2015,syria,46
2015,uk,151
2015,ukraine,40
2015,us,303
2014,city,100
2014,crisis,41
2014,ebola,30
2014,footage,79
2014,gaza,42
2014,government,84
2014,iraq,27
2014,islamic,138
2014,killed,93
2014,life,28
2014,police,140
2014,president,83
2014,reports,176
2014,state,186
2014,ukraine,67
2014,us,290
2013,city,22
2013,find,29
2013,government,23
2013,haiyan,24
2013,interview,15
2013,mandela,43
2013,nelson,32
2013,protests,9
2013,reports,22
2013,south,17
2013,syria,8
2013,tacloban,7
2013,talks,17
2013,thailand,7
2013,typhoon,48
2013,us,77
